stabilized_videos_dataset
Device name;Video name;Resolution;Rotation (Degree)
D15;D15_V_flat_move_0002.mov;1920 x 1080;0
D15;D15_V_flat_panrot_0001.mov;1920 x 1080;0
D15;D15_V_flat_panrot_0002.mov;1920 x 1080;0
D15;D15_V_flat_still_0001.mov;1920 x 1080;0
D15;D15_V_flat_still_0002.mov;1920 x 1080;0
D15;D15_V_indoor_move_0001.mov;1920 x 1080;0
D15;D15_V_indoor_move_0002.mov;1920 x 1080;0
D15;D15_V_indoor_panrot_0001.mov;1920 x 1080;0
D15;D15_V_indoor_panrot_0002.mov;1920 x 1080;0
D15;D15_V_indoor_still_0001.mov;1920 x 1080;0
D15;D15_V_indoor_still_0002.mov;1920 x 1080;0
D15;D15_V_outdoor_move_0001.mov;1920 x 1080;0
D15;D15_V_outdoor_move_0002.mov;1920 x 1080;0
D15;D15_V_outdoor_panrot_0001.mov;1920 x 1080;0
D15;D15_V_outdoor_panrot_0002.mov;1920 x 1080;0
D15;D15_V_outdoor_still_0001.mov;1920 x 1080;0
D18;D18_V_flat_move_0001.mov;1920 x 1080;0
D18;D18_V_flat_move_0002.mov;1920 x 1080;0
D18;D18_V_flat_panrot_0001.mov;1920 x 1080;0
D18;D18_V_flat_still_0001.mov;1920 x 1080;0
D18;D18_V_flat_still_0002.mov;1920 x 1080;0
D18;D18_V_indoor_move_0001.mov;1920 x 1080;0
D18;D18_V_indoor_panrot_0001.mov;1920 x 1080;0
D18;D18_V_indoor_still_0001.mov;1920 x 1080;0
D18;D18_V_indoor_still_0002.mov;1920 x 1080;0
D18;D18_V_outdoor_move_0001.mov;1920 x 1080;0
D18;D18_V_outdoor_panrot_0001.mov;1920 x 1080;0
D18;D18_V_outdoor_still_0001.mov;1920 x 1080;0
D18;D18_V_outdoor_still_0002.mov;1920 x 1080;0
D19;D19_V_flat_move_0001.mov;1920 x 1080;180
D19;D19_V_flat_panrot_0001.mov;1920 x 1080;180
D19;D19_V_flat_panrot_0002.mov;1920 x 1080;180
D19;D19_V_flat_still_0001.mov;1920 x 1080;180
D19;D19_V_flat_still_0002.mov;1920 x 1080;180
D19;D19_V_indoor_move_0001.mov;1920 x 1080;180
D19;D19_V_indoor_move_0002.mov;1920 x 1080;180
D19;D19_V_indoor_panrot_0001.mov;1920 x 1080;180
D19;D19_V_indoor_panrot_0002.mov;1920 x 1080;180
D19;D19_V_indoor_still_0001.mov;1920 x 1080;180
D19;D19_V_indoor_still_0002.mov;1920 x 1080;180
D19;D19_V_outdoor_move_0001.mov;1920 x 1080;180
D19;D19_V_outdoor_move_0002.mov;1920 x 1080;180
D19;D19_V_outdoor_panrot_0001.mov;1920 x 1080;0
D19;D19_V_outdoor_panrot_0002.mov;1920 x 1080;0
D19;D19_V_outdoor_still_0001.mov;1920 x 1080;0
D19;D19_V_outdoor_still_0002.mov;1920 x 1080;0
D20;D20_V_flat_move_0001.mov;1920 x 1080;0
D20;D20_V_flat_move_0002.mov;1920 x 1080;0
D20;D20_V_flat_panrot_0001.mov;1920 x 1080;0
D20;D20_V_flat_still_0001.mov;1920 x 1080;0
D20;D20_V_indoor_move_0001.mov;1920 x 1080;0
D20;D20_V_indoor_move_0002.mov;1920 x 1080;0
D20;D20_V_indoor_panrot_0001.mov;1920 x 1080;0
D20;D20_V_indoor_panrot_0002.mov;1920 x 1080;0
D20;D20_V_indoor_still_0001.mov;1920 x 1080;0
D20;D20_V_indoor_still_0002.mov;1920 x 1080;0
D20;D20_V_outdoor_move_0001.mov;1920 x 1080;0
D20;D20_V_outdoor_move_0002.mov;1920 x 1080;0
D20;D20_V_outdoor_panrot_0001.mov;1920 x 1080;0
D20;D20_V_outdoor_panrot_0002.mov;1920 x 1080;0
D20;D20_V_outdoor_still_0001.mov;1920 x 1080;0
D20;D20_V_outdoor_still_0002.mov;1920 x 1080;0
D25;D25_V_flat_move_0001.mp4;1920 x 1080;0
D25;D25_V_flat_move_0002.mp4;1920 x 1080;0
D25;D25_V_flat_panrot_0001.mp4;1920 x 1080;0
D25;D25_V_flat_panrot_0002.mp4;1920 x 1080;0
D25;D25_V_flat_still_0001.mp4;1920 x 1080;0
D25;D25_V_flat_still_0002.mp4;1920 x 1080;0
D25;D25_V_indoor_move_0001.mp4;1920 x 1080;0
D25;D25_V_indoor_move_0002.mp4;1920 x 1080;0
D25;D25_V_indoor_panrot_0001.mp4;1920 x 1080;0
D25;D25_V_indoor_panrot_0002.mp4;1920 x 1080;0
D25;D25_V_indoor_still_0001.mp4;1920 x 1080;0
D25;D25_V_indoor_still_0002.mp4;1920 x 1080;0
D25;D25_V_outdoor_move_0001.mp4;1920 x 1080;0
D25;D25_V_outdoor_move_0002.mp4;1920 x 1080;0
D25;D25_V_outdoor_panrot_0001.mp4;1920 x 1080;180
D25;D25_V_outdoor_panrot_0002.mp4;1920 x 1080;180
D25;D25_V_outdoor_still_0001.mp4;1920 x 1080;180
D25;D25_V_outdoor_still_0002.mp4;1920 x 1080;180
D29;D29_V_flat_move_0001.mov;1920 x 1080;0
D29;D29_V_flat_move_0002.mov;1920 x 1080;0
D29;D29_V_flat_panrot_0001.mov;1920 x 1080;0
D29;D29_V_flat_panrot_0002.mov;1920 x 1080;0
D29;D29_V_flat_still_0001.mov;1920 x 1080;0
D29;D29_V_flat_still_0002.mov;1920 x 1080;0
D29;D29_V_indoor_move_0001.mov;1920 x 1080;0
D29;D29_V_indoor_move_0002.mov;1920 x 1080;0
D29;D29_V_indoor_panrot_0001.mov;1920 x 1080;0
D29;D29_V_indoor_panrot_0002.mov;1920 x 1080;0
D29;D29_V_indoor_still_0001.mov;1920 x 1080;0
D29;D29_V_indoor_still_0002.mov;1920 x 1080;0
D29;D29_V_outdoor_move_0001.mov;1920 x 1080;0
D29;D29_V_outdoor_move_0002.mov;1920 x 1080;0
D29;D29_V_outdoor_panrot_0001.mov;1920 x 1080;0
D29;D29_V_outdoor_panrot_0002.mov;1920 x 1080;0
D29;D29_V_outdoor_still_0001.mov;1920 x 1080;0
D29;D29_V_outdoor_still_0002.mov;1920 x 1080;0
D32;D32_V_flat_move_0001.mp4;1920 x 1080;0
D32;D32_V_flat_move_0002.mp4;1920 x 1080;0
D32;D32_V_flat_panrot_0001.mp4;1920 x 1080;0
D32;D32_V_flat_panrot_0002.mp4;1920 x 1080;0
D32;D32_V_flat_still_0001.mp4;1920 x 1080;0
D32;D32_V_flat_still_0002.mp4;1920 x 1080;0
D32;D32_V_indoor_move_0001.mp4;1920 x 1080;0
D32;D32_V_indoor_move_0002.mp4;1920 x 1080;0
D32;D32_V_indoor_panrot_0001.mp4;1920 x 1080;0
D32;D32_V_indoor_panrot_0002.mp4;1920 x 1080;0
D32;D32_V_indoor_still_0001.mp4;1920 x 1080;0
D32;D32_V_indoor_still_0002.mp4;1920 x 1080;0
D32;D32_V_outdoor_move_0001.mp4;1920 x 1080;0
D32;D32_V_outdoor_move_0002.mp4;1920 x 1080;0
D32;D32_V_outdoor_panrot_0001.mp4;1920 x 1080;0
D32;D32_V_outdoor_panrot_0002.mp4;1920 x 1080;0
D32;D32_V_outdoor_still_0001.mp4;1920 x 1080;0
D32;D32_V_outdoor_still_0002.mp4;1920 x 1080;0
D34;D34_V_flat_move_0001.mov;1920 x 1080;90
D34;D34_V_flat_move_0002.mov;1920 x 1080;90
D34;D34_V_flat_panrot_0001.mov;1920 x 1080;90
D34;D34_V_flat_panrot_0002.mov;1920 x 1080;90
D34;D34_V_flat_still_0001.mov;1920 x 1080;90
D34;D34_V_flat_still_0002.mov;1920 x 1080;90
D34;D34_V_indoor_move_0001.mov;1920 x 1080;0
D34;D34_V_indoor_move_0002.mov;1920 x 1080;0
D34;D34_V_indoor_panrot_0001.mov;1920 x 1080;0
D34;D34_V_indoor_panrot_0002.mov;1920 x 1080;0
D34;D34_V_indoor_still_0001.mov;1920 x 1080;0
D34;D34_V_indoor_still_0002.mov;1920 x 1080;0
D34;D34_V_outdoor_move_0001.mov;1920 x 1080;0
D34;D34_V_outdoor_move_0002.mov;1920 x 1080;0
D34;D34_V_outdoor_panrot_0001.mov;1920 x 1080;0
D34;D34_V_outdoor_panrot_0002.mov;1920 x 1080;0
D34;D34_V_outdoor_still_0001.mov;1920 x 1080;90
